ticker_a,ticker_b,direction,signal_date,entry_date,exit_date,holding_days,exit_reason,entry_price_a,entry_price_b,exit_price_a,exit_price_b,qty_a,qty_b,gross_pnl,slippage_cost,commission_cost,net_pnl
MA,PGR,-1,2022-10-26,2022-10-27,2022-10-31,2,signal,308.99925815266306,113.0334126756909,321.7324188651845,117.6243196230832,0.0013464341506518943,0.0051669376088953,0.0075970856264293216,0.0010205182900872283,0.001020518290087312,0.005556049046254782
NTRS,SCHW,1,2022-10-27,2022-10-28,2022-11-11,10,signal,73.29910107978542,74.29880917289148,80.34217297863029,75.81205638208834,0.007376605357383521,0.006182358663947551,0.043629230942066846,0.0010307060350831184,0.0010307060350832529,0.041567818871900475
AJG,ICE,-1,2022-11-01,2022-11-02,2022-11-11,7,signal,179.48753533030083,89.31368541570691,186.34177646636962,98.03363785164638,0.003126152320423537,0.00491339302403045,0.022449231840248683,0.0010320802038903303,0.0010320802038903093,0.020385071432468045
MS,TROW,-1,2022-11-01,2022-11-02,2022-11-15,9,signal,74.14306371827301,87.87137068607758,80.99418096290125,106.17336677975388,0.007944912215662679,0.004675590119286542,0.03221102778756977,0.0010699207765401495,0.001069920776540199,0.03007118623448942
AON,NDAQ,1,2022-11-03,2022-11-04,2022-11-08,2,signal,271.9450892939417,58.57070264798672,279.7884034782598,59.48093451380551,0.002205807243513035,0.006833469512420988,0.012092660558916671,0.0010118630223060181,0.0010118630223062198,0.010068934514304434
FITB,RF,1,2022-11-03,2022-11-04,2022-11-22,12,signal,29.68920004211104,18.70421147223166,31.09035322369577,19.084268877755445,0.014820122622266107,0.029936690640316562,0.010403614829006272,0.0010160138400691758,0.0010160138400692356,0.00837158714886786
BKR,MPC,-1,2022-11-07,2022-11-08,2022-11-18,8,signal,28.21512766973088,109.95952513955659,26.989334982662843,109.85253827584707,0.016189073155424647,0.004940601808774798,0.020305729549645934,0.000989861557675353,0.0009898615576754742,0.01832600643429511
D,ES,1,2022-11-07,2022-11-08,2022-12-21,30,signal,52.28457176534824,63.99440405837794,49.9475743154853,71.12285458290344,0.012288853004746848,0.005588375807858782,-0.06754979456257813,0.001005684030032378,0.0010056840300325118,-0.06956116262264302
D,EVRG,1,2022-11-07,2022-11-08,2022-12-05,18,signal,52.28457176534824,52.09998455844006,50.06437959165942,49.66787875042809,0.013265915768617013,0.005884656850824362,-0.014162467041006785,0.0009783072202444575,0.0009783072202445555,-0.0161190814814958
D,WEC,1,2022-11-07,2022-11-08,2022-12-19,28,signal,52.28457176534824,78.46051478995143,48.971321192753315,83.22387110673245,0.01158032293855351,0.0050297011809149915,-0.06133388578881721,0.0009928847098116904,0.0009928847098117969,-0.0633196552084407
D,XEL,1,2022-11-07,2022-11-08,2022-12-20,29,signal,52.28457176534824,57.15414636528561,49.29673504556062,60.854352247238154,0.011921618560285419,0.00659280748654624,-0.05902009903615454,0.0009944956978670439,0.0009944956978670946,-0.06100909043188868
EOG,FANG,-1,2022-11-07,2022-11-08,2022-12-06,19,signal,125.09289369717611,139.39996147251767,114.8810815247437,121.6672110261391,0.004586359966851962,0.0030574251790580027,-0.00643211259024911,0.0009493985818052385,0.0009493985818053574,-0.008330909753859706
D,EXC,1,2022-11-09,2022-11-10,2022-12-13,22,signal,50.96279197657944,33.60969182447694,50.65681865079229,37.679297894893864,0.018607346118858083,0.0015520969125852285,-0.011009018001520536,0.001000756591871301,0.001000756591871425,-0.013010531185263262
D,FE,1,2022-11-09,2022-11-10,2022-12-13,22,signal,50.96279197657944,32.6437051607799,50.65681865079229,36.745929314471006,0.018192596422420607,0.0022448792137807444,-0.013773202451846312,0.001002244513115591,0.0010022445131157034,-0.015777691478077605
D,NEE,1,2022-11-09,2022-11-10,2022-12-13,22,signal,50.96279197657944,72.51933184274054,50.65681865079229,78.96359261852808,0.015876406559980825,0.0026365755439769806,-0.020842167274323833,0.0010063700028339784,0.0010063700028340788,-0.02285490727999189
D,NI,1,2022-11-09,2022-11-10,2022-12-13,22,signal,50.96279197657944,22.632216430798525,50.65681865079229,25.245001592257097,0.018313187837456175,0.002966640178030971,-0.012353036765202819,0.001001503659734568,0.0010015036597346896,-0.014356044084672077
D,PNW,1,2022-11-09,2022-11-10,2022-12-13,22,signal,50.96279197657944,61.06472041485205,50.65681865079229,67.92610236869236,0.019572570453022235,4.9523487283774915e-05,-0.005330812838465598,0.0009976711991890534,0.0009976711991891729,-0.007326155236843825
AEP,AES,-1,2022-11-10,2022-11-11,2022-12-19,25,signal,79.5608232585621,23.94248950408681,82.10983779964315,23.96925442892055,0.011300756159460587,0.004197683338434149,-0.027679388492504238,0.0010140526041430098,0.0010140526041431202,-0.029707493700790368
AEP,AWK,-1,2022-11-10,2022-11-11,2022-12-16,24,signal,79.5608232585621,134.96783471052177,82.82535524800706,141.8416509242553,0.010888155694186078,0.000988107021990849,-0.027731871738694715,0.0010207947623683945,0.0010207947623684733,-0.029773461263431583
AEP,CNP,-1,2022-11-10,2022-11-11,2022-12-19,25,signal,79.5608232585621,26.52920281765146,82.10983779964315,27.184850776842623,0.01118137580039508,0.004146769596782657,-0.024767454562218204,0.0010152139189141033,0.0010152139189142063,-0.026797882400046512
AEP,EIX,-1,2022-11-10,2022-11-11,2022-12-16,24,signal,79.5608232585621,50.36811984572435,82.82535524800706,55.051217171130716,0.008781892823047551,0.005978113417918192,0.00035545038293400763,0.0010281334732212659,0.0010281334732213255,-0.0017008165635085837
AEP,EXC,-1,2022-11-10,2022-11-11,2022-12-16,24,signal,79.5608232585621,33.7900074071047,82.82535524800706,36.38952717467663,0.009824330796868529,0.006454160496373482,-0.014269985178238537,0.001024139189623375,0.0010241391896234492,-0.016318263557485363
AEP,FE,-1,2022-11-10,2022-11-11,2022-12-16,24,signal,79.5608232585621,33.42173513894842,82.82535524800706,35.365440247034364,0.010135432485715908,0.005783956452445639,-0.020823284992842323,0.0010218528820716804,0.001021852882071756,-0.02286699075698576
AEP,NEE,-1,2022-11-10,2022-11-11,2022-12-19,25,signal,79.5608232585621,74.34174440139876,82.10983779964315,75.28107065669556,0.010960029778604267,0.001716916702707349,-0.02531013408196464,0.0010143962573683249,0.0010143962573684303,-0.027338926596701396
AEP,NI,-1,2022-11-10,2022-11-11,2022-12-19,25,signal,79.5608232585621,23.08063697863822,82.10983779964315,24.11208072862323,0.008542297707687933,0.013872571624808596,-0.006447803747502095,0.001017860025009564,0.0010178600250096916,-0.00848352379752135
