ticker_a,ticker_b,sector,pvalue,hedge_ratio,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
AEP,NI,utilities,0.03810108699621755,1.6239859695270864,31.784854829583306,-0.044875981794811025,-0.003105082066743994,0.069192515518469,-0.009278280937532649,-0.14510744963577893,23,0.5652173913043478,17.73913043478261,0.03687405523492976,0.04615233617246241,-0.009278280937532635
CVX,FANG,energy,0.0036600163706841738,0.5016217889413526,12.740634517539695,-0.05216102472005573,-0.004655825909174562,0.08925871249964945,-0.013912051228604942,-0.19654617770481264,27,0.5925925925925926,14.555555555555555,0.040453819993869905,0.05436587122247479,-0.01391205122860489
CB,PNC,financials,0.014766327224942338,0.6957321145464543,24.836601933534357,-0.07178031003132973,-0.006560283573958039,0.09139391528254326,-0.019602752107898427,-0.11538685337221732,24,0.5833333333333334,17.125,0.028866985909159457,0.04846973801705784,-0.019602752107898348
ATO,ED,utilities,0.04451728543335611,0.9011051909204679,18.447714423345378,-0.0721462243023936,-0.0036675376065338126,0.05083478230491591,-0.010958951657618891,-0.0955159661163908,21,0.6666666666666666,15.619047619047619,0.0313367166825709,0.04229566834018983,-0.010958951657618912
EOG,FANG,energy,0.007774450764922078,0.6666343682475043,17.3202211049473,-0.07604088989735272,-0.005542246790299113,0.0728850858765668,-0.016560761242441397,-0.08565448757635608,23,0.5217391304347826,14.73913043478261,0.02990878995413864,0.046469551196580056,-0.01656076124244143
AEE,AWK,utilities,0.018388770321315404,0.22379288815759205,14.696873078479454,-0.07682653753719086,-0.0060500189089346965,0.07874907685389247,-0.018078032692173916,-0.15966552407283563,28,0.6428571428571429,13.714285714285714,0.037741536356966435,0.05581956904914031,-0.0180780326921739
ALL,JPM,financials,0.04448635340069448,0.5235530982859745,30.203558259629368,-0.08754627889035202,-0.009996278523900422,0.11418279166862517,-0.029869832255940545,-0.1954719194529193,17,0.7058823529411765,22.352941176470587,0.00471833119869856,0.03458816345463908,-0.029869832255940518
OKE,VLO,energy,0.03134746378180602,0.8350032625317265,27.221943665337424,-0.08772244253637315,-0.012774766359961364,0.1456271165119969,-0.03817221852797979,-0.22950854129759757,24,0.6666666666666666,15.541666666666666,0.00992645584051021,0.048098674368489996,-0.038172218527979786
BAC,FITB,financials,0.04068159003408666,0.9187070386320998,24.09071681089872,-0.09458463778300608,-0.005713450229534856,0.0604056891632077,-0.017072333423967245,-0.09001562829223175,20,0.7,17.6,0.02305750694347218,0.040129840367439405,-0.017072333423967235
AMP,MS,financials,0.02785895248761497,2.786970146237935,31.03073695356411,-0.09694309576535197,-0.007356811670756101,0.07588793830726283,-0.02198285392094978,-0.09864918026997793,20,0.6,17.65,0.01865473789705703,0.04063759181800681,-0.02198285392094977
