ticker_a,ticker_b,sector,pvalue,test_stat,hedge_ratio,orientation,half_life,sharpe,annualized_return,annualized_volatility,total_return,max_drawdown,n_trades,win_rate,avg_holding_days,gross_pnl,total_costs,net_pnl
EIX,ED,utilities,0.043218097472108793,-3.3922542603652306,0.7401071614828186,EIX on ED,23.35895894463498,0.18727496332266766,0.01389149477913166,0.0741769990641896,0.0552903542201153,-0.19716284500634362,30,0.7,12.9,0.11505006860870594,0.05975971438859065,0.05529035422011533
NTRS,SCHW,financials,0.047762182753531404,-3.3536782600572135,0.8381035213662368,NTRS on SCHW,22.62882567970881,0.18288646323888025,0.01983400991325596,0.10844985223072216,0.07894250771030051,-0.1520099206725637,28,0.6428571428571429,14.714285714285714,0.13528626631411395,0.056343758603813535,0.07894250771030048
BAC,PNC,financials,0.039695709954930984,-3.4245524327826096,0.21982689340995315,BAC on PNC,20.69997085889486,0.13958622514597696,0.00855304066899266,0.0612742457935805,0.0340424594880938,-0.08610005136895538,33,0.696969696969697,12.93939393939394,0.10038894674297383,0.06634648725488003,0.034042459488093826
AWK,NEE,utilities,0.006940507824151345,-4.010371809924091,1.8795619717626626,AWK on NEE,16.911328347857836,0.1205576677116409,0.009604364154406526,0.07966614099883702,0.0382268938367847,-0.1346863787869107,26,0.6153846153846154,15.384615384615385,0.09021157942978811,0.05198468559300342,0.03822689383678473
V,TROW,financials,0.04398034312878877,-3.385555405554078,0.7200533389289577,V on TROW,23.981607311261147,0.09490935443487059,0.009270430799866574,0.09767668166185031,0.036897786080421324,-0.12750371165785457,27,0.5555555555555556,14.037037037037036,0.09130646328607922,0.054408677205657854,0.036897786080421366
NTRS,PNC,financials,0.0016252299806029287,-4.424497712919848,0.4359821939266008,NTRS on PNC,13.927298332500396,0.029604402836136332,0.0028367876690180193,0.09582316808482694,0.011290865206448703,-0.14628791432229116,24,0.5833333333333334,16.333333333333332,0.05957709647517641,0.04828623126872769,0.011290865206448768
V,PGR,financials,0.04805728845533029,-3.351279743687246,2.0534715505404453,V on PGR,22.623582557852,0.018391411921975454,0.0017833089059755562,0.09696421968803404,0.007097852510688424,-0.22403093895475523,28,0.5714285714285714,14.428571428571429,0.06328716312061183,0.05618931060992339,0.007097852510688472
USB,AFL,financials,0.016271373046776984,-3.739868931858689,1.0015160374081078,USB on AFL,16.752178442836918,0.012363594105726924,0.001053505501234132,0.08521029501818887,0.00419311911800728,-0.2228186918108308,30,0.7,17.9,0.0642473044707004,0.060054185352693176,0.004193119118007167
TFC,HBAN,financials,0.004431125514835351,-4.143791800035367,3.362477760287649,TFC on HBAN,15.811846391874322,-0.01401229113918047,-0.000918961840908176,0.06558255404347266,-0.003657613993773415,-0.09956690339754093,32,0.5625,17.0,0.060919269677234954,0.06457688367100836,-0.0036576139937733836
NTRS,KEY,financials,0.0410153652458071,-3.412181656647067,4.134633399909517,NTRS on KEY,23.108470913665144,-0.026145908412497115,-0.002680646379725238,0.10252641971483208,-0.0106693980907318,-0.17122236144483927,30,0.6,13.1,0.04964531778677347,0.06031471587750528,-0.010669398090731787
